#controller\sample size,10.0%,30.0%,50.0%,70.0%,90.0%
SeqFDR,0.08,0.32,0.46,0.48,0.42
BetaFarsighted,0.06,2.06,6.77,11.45,13.76
GammaFixed,0.02,9.49,12.23,13.84,14.04
DeltaHopeful,0.04,6.08,8.71,10.24,9.61
EpsilonHybrid,0.02,9.42,12.23,13.94,14.05
PsiSupport,0.03,10.23,13.06,13.85,14.0
